Key;English;;;;;;;;;;;;;
end_sikh_war_title;End the war with the Sikhs;;;;;;;;;;;;;
end_sikh_war_desc;The British consider the Anglo-Sikh war their business and we shall not get involved with it.;;;;;;;;;;;;;
found_niger_company_title;Found the $COUNTRY_ADJ$ Niger Company;;;;;;;;;;;;;
found_niger_company_desc;Talks by senior officials in $CAPITAL$ have come to an end, with the suggestion for the $COUNTRY_ADJ$ government to found a $COUNTRY_ADJ$ Niger Company being the main course of action recommended. With the intensification of colonial competition in the wake of the African Conference, the foothold in Southern Niger that the company can provide can greatly help expanding $COUNTRY_ADJ$ in the Niger delta. All that is missing is the initial capital for the company.;;;;;;;;;;;;;
abolish_umar_pact_title;Abolish the Pact of Umar;;;;;;;;;;;;;
abolish_umar_pact_desc;The Pact of Umar is a 7th century treaty between the Muslims and the Christians of Syria, Mesopotamia, or Jerusalem that later gained a canonical status in Islamic jurisprudence. In general, the pact contains a list of rights and restrictions on non-Muslims (dhimmis). By abiding by them, non-Muslims are granted the security of their persons, their families, and their possessions. Under the pact today, all dhimmis have their religion and status protected - they are free to practice and need not to convert and in return, they pay a tax: the jizya. Abolishing the pact means relinquishing this tax but will enable efforts to convert the non-muslims. It's a path without return which will greatly anger other countries as well as our own dhimmi population.;;;;;;;;;;;;;
partisan_flip_to_original_owner_title;Partisans Victorious;;;;;;;;;;;;;
partisan_flip_to_original_owner_desc;Partisans Victorious;;;;;;;;;;;;;
transfer_vassalage_title;Transfer Vassalage;;;;;;;;;;;;;
transfer_vassalage_desc;The time has come to align ourselves to our new masters.;;;;;;;;;;;;;
build_suez_canal_desc;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. This feat, however, is estimated to cost between 1 to 3 million pounds.;;;;;;;;;;;;;
build_kiel_canal_desc;Building a canal between the Baltic and the North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. The Kiel Canal and the Danish islands, with their numerous tortuous channels, will enable $COUNTRY$ to play the game of hide-and-seek with a strong naval opponent, such as the Royal Navy. Besides, it will greatly strengthen $COUNTRY$'s position in the Baltic. Whereas Russia must send her ships through the Skager Rack and Kattegat, $COUNTRY$ can pass them quickly and safely through the Canal. Last, but not least, the Canal will convert the Baltic and the North Sea into a single sea as far as $COUNTRY$ goes. Kiel is an enormous harbour, but it lays on the Baltic, while Wilhelmshaven on the North Sea is too small. The estimated costs are between 0.5 to 1.5 million pounds.;;;;;;;;;;;;;
build_panama_canal_desc;Proposals for a Canal across the Panama Isthmus probably date back to the first discovery of the area. Nowhere is the strip of land that unites the North and South American continents thinner than here, and, with the aid of modern engineering, we could shorten the travel time between the Atlantic and the Pacific by several days by building it. The canal will take a long while to be built and will likely cost between 2 and 6 million pounds.;;;;;;;;;;;;;
cotton_in_algiers_title;The Decrees of $YEAR$ on Algerian Cotton;;;;;;;;;;;;;
cotton_in_algiers_desc;In the context of the a strong demand in Cotton, the $COUNTRY_ADJ$ government in $CAPITAL$ decided to pass a series of decrees stimulating cotton growing in Algiers. These decrees stipulate the obligation for the State to buy, for three years, from $YEAR$, all the cotton crops of the $COUNTRY_ADJ$ planters, at a price fixed in advance, while the world prices are high. The other axis of action fixed by these decrees consisted in attributing, for another two years, export premiums in $COUNTRY$ for cottons harvested in Algeria.;;;;;;;;;;;;;
plantations_in_comoros_title;Economic Reform in the Comoro Islands;;;;;;;;;;;;;
plantations_in_comoros_desc;The Comoro Islands are an archipelago of Volcanic islands near Madagascar, largely inhabited by Muslims. Agriculture there is geared towards the basic necessities of the inhabitants, but now under $COUNTRY_ADJ$ rule that is unnecessary. Opening up the islands to $COUNTRY_ADJ$ investment will lead to new cash crops and new goods being produced by natives with $COUNTRY_ADJ$ money - something that is of great interest in $CAPITAL$.;;;;;;;;;;;;;
send_pleasantries_to_great_power_title;Pay Respects to a Great Power;;;;;;;;;;;;;
send_pleasantries_to_great_power_desc;If we ever hope to safeguard our nation against foreign aggression, we must find allies in the world. Powerful allies. Great Powers. By sending an entourage with typical $COUNTRY_ADJ$ gifts, compliments and pleasantries to a great power, we will be able to curry some favour with them - and they can become a key ally in the future of $COUNTRY$.;;;;;;;;;;;;;
rename_the_congo_desc;The Congo Free State was confirmed as the personal property of the $COUNTRY_ADJ$ $MONARCHTITLE$, thus it is only fair and reasonable that we now explore the region, and perhaps leave a bit of a personal mark on it?;;;;;;;;;;;;;
conscript_fishermen_title;Conscript Navy;;;;;;;;;;;;;
conscript_fishermen_desc;$COUNTRY$ does not need a standing navy. When the time comes, we can build some ships, conscript merchant and fishing ships and fit them with guns. That time came again, and it's time for the $COUNTRY_ADJ$ people to step up and protect their country.;;;;;;;;;;;;;
unlock_crisis_in_1870_title;Option: Unlock Crisis in 1870;;;;;;;;;;;;;
unlock_crisis_in_1870_desc;Old HPM standard was to unlock crisis as soon as someone researched Revolution & Counter-revolution. This changed in recent versions to wait until 1886 at least, to avoid Great Wars during the scramble for Africa. If you prefer the old rule, this option will change this system back to that.;;;;;;;;;;;;;
pick_AI_personality_title;The $COUNTRY_ADJ$ $MONARCHTITLE$ Personality;;;;;;;;;;;;;
pick_AI_personality_desc;The $COUNTRY_ADJ$ $MONARCHTITLE$ has a strong personality...;;;;;;;;;;;;;
take_eisenstadt_title;Reclaim Eisenstadt;;;;;;;;;;;;;
take_eisenstadt_desc;Eisenstadt is part of Austria proper - and shall be once more.;;;;;;;;;;;;;
south_tirol_compromise_title;Call a Convention on the South Tirol Question;;;;;;;;;;;;;
south_tirol_compromise_desc;South Tirol is traditionally split as majority German in the North and majority Italian in the South, with minorities on both provinces. This has been a great source of attrition with our German neighbours, one that some in $CAPITAL$ are eager to solve. We can invite our neighbours to a convention aimed at finding solutions to this problem - though the convention does not guarantee a result, this is the best chance we have of solving this matter peacefully.;;;;;;;;;;;;;
turn_canada_french_title;French Canada;;;;;;;;;;;;;
turn_canada_french_desc;Canada is under our dominion, and the French Canadians are again part of $COUNTRY$. They should be put in positions of power in Canada, in order to expunge Anglo influence in Canada.;;;;;;;;;;;;;
start_propaganda_title;Start a Propaganda Campaign;;;;;;;;;;;;;
start_propaganda_desc;揌e who wants to persuade should put his trust not in the right argument, but in the right word. The power of sound has always been greater than the power of sense.擻nA meeting in $CAPITAL$ with senior figures of the $COUNTRY_ADJ$ government proposed a propaganda effort to boost popular support to the $COUNTRY_ADJ$ government's efforts. We can choose to boost our war efforts or strengthen the government. There are no guaranteed results, however, as our marketing might fail and even backfire. Unless, of course, the press is controlled by the state...;;;;;;;;;;;;;
call_allies_cleanup_title;Call Allies Cleanup;;;;;;;;;;;;;
call_allies_cleanup_desc;This removes the flag once peace is achieved. Used to be an event.;;;;;;;;;;;;;
dissolve_the_upper_house_title;Dissolve the Upper House;;;;;;;;;;;;;
dissolve_the_upper_house_desc;Supreme executive power in the $COUNTRY_ADJ$ state emanates from $CAPITAL$, through the figure of the $COUNTRY_ADJ$ monarch. The absolute monarch is the final authority in all matters of the state, but the bureaucracy and the military are the pillars that sustain the absolutist government. In addition, the landed aristocracy, which often acts as the bureaucracy, expects and receives positions of power in the government, positions appointed by the monarch. This is necessary for the normal function of the $COUNTRY_ADJ$ state - the aristocrats are the governor generals, the privy-councillors, the high-ranking bureaucrats, the ministers, the judges and the executors of the monarch's decisions. For these functions, several government institutions exist and are populated by the landed nobility - the Committee of Ministers of $COUNTRY$, the Governing Senate, the State Council. They help draft and apply laws, manage foreign and internal policy, plan wars and administer the military, advise the $COUNTRY_ADJ$ monarch as well as judge and administer justice. The monarch still can and has the final say in all these matters, and is his royal prerogative to do away the currently appointed aristocrats and pick new ones. By taking this step - effectively dissolving the upper house and appointing new ministers - the $COUNTRY_ADJ$ monarch can surround himself with sycophants and petty nobility that are willing to do whatever he wants them to do - for a time, at least. This break in the unspoken agreement between the monarch and the bureaucrats, the monarch and the aristocracy, will bring consequences - besides exposing internal fractures in the government to the international community, it is sure to anger the nobles and sow confusion throughout the government ranks.;;;;;;;;;;;;;
intern_african_diaspora_cultures_title;Article 3: African Diaspora Internment;;;;;;;;;;;;;
intern_african_diaspora_cultures_desc;"The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from the African Diaspora - that is, the Afro-American, Afro-Caribbean, Afro-Latinos, Afro-Brazilians, Afro-Antillean and Kreol - from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own  African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 3 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
intern_central_african_title;Article 3: Central African Internment;;;;;;;;;;;;;
intern_central_african_desc;"The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from Central Africa - that is, the Bakongo, Baguirmi, Fang, Kanuri, Bakuba, Luba, Lunda, Lendu, Kingwana, Chokwe, Kavango-Kimbundu, Mongo, Sara-Baguirmi, Toubou, Ubangi, Northwest Bantu and Central Bantu - from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own  African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 3 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
intern_east_african_title;Article 3: East African Internment;;;;;;;;;;;;;
intern_east_african_desc;"The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from East Africa - that is, the Amhara, Afar, Azande, Baganda, Beja, Dinka, Fur, Harari, Kefficho, Kikuyu朘amba, Luo, Kalenjin-Maasai, Nuer, Nuba, Oromo, Banyarwanda, Somali, Sukuma, Swahili, Tigray, Unyamwezi, Kilombero, Northeast Bantu, Cushitic and Nilotic - from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own  African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 3 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
intern_southern_african_title;Article 3: Southern African Internment;;;;;;;;;;;;;
intern_southern_african_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from Southern Africa - that is, the Chewa, Nyasa, Herero, Khoisan, Makua, Malagasy, Nguni, Southern Bantu, Ovimbundu, Sena, Shona, Tonga, Yao-Makonde, Xhosa, Tswana and Zulu - from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 3 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
interning_finnougric_people_title;Article 3: Finno-Ugric Internment;;;;;;;;;;;;;
interning_finnougric_people_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people Finno-Ugric people - that is, the Finnish, Sami and Ugric - from the rest of the population. In the execution of this, first of all, is the seizing of the Finno-Ugric population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Finno-Ugrics are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own Finno-Ugric self-government with Finno-Ugric officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 1 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
intern_west_african_title;Article 3: West African Internment;;;;;;;;;;;;;
intern_west_african_desc;The first main goal of the $COUNTRY_ADJ$ measures must be strict segregation of the people from West Africa - that is, the Akan, Bambara, Dyula, Edo, Ewe, Fon, Fulbe, Hausa, Ijaw, Ibo, Kru, Mande, Western Nigritic, Mossi, Fur, Senufo, Songhai, Bantoid, Tuareg, Wolof, Yoruba and Kwa - from the rest of the population. In the execution of this, first of all, is the seizing of the African population by the introduction of a registration order and similar appropriate measures. All rights of freedom for Africans are to be withdrawn. They are to be placed in internment camps and at the same time are to be separated according to sexes. These internment camps can be placed under the supervision of their own  African self-government with African officials. The guarding of the boundaries between the internment camps and the outer world, is, however, the duty of the Police."\n\nAdds 3 points to the "slowdown" scale. Starting at 4 points, every 2 points will decrease speed by 20%.;;;;;;;;;;;;;
intern_pan_albanian_title;Article 3: Albanian Internment;;;;;;;;;;;;;
