Key;English;;;;;;;;;;;;;
EVTNAME31717;The Lands of the Austrian Empire;;;;;;;;;;;;;
EVTDESC31717;With the formation of Greater Germany, the lands formerly belonging to the Austrian empire were given self rule. As part of that process, the newly formed German Empire is offering us lands that are claimed by the $COUNTRY_ADJ$ people, as a token of good will for us and for the balance of power in Europe.;;;;;;;;;;;;;
EVT31717OPTA;Who are we to refuse?;;;;;;;;;;;;;
EVTOPTA23200;We should outfit an expedition.§R(Pay or owe 30,000¤)§W;;;;;;;;;;;;;
EVTOPTA23201;We should try again.§R(Pay or owe 50,000¤)§W;;;;;;;;;;;;;
EVTNAME98906;Founding of the $FROMCOUNTRY_ADJ$ Niger Company;;;;;;;;;;;;;
EVTDESC98906;$FROMCOUNTRY_ADJ$ officials arrived in $CAPITAL$ today to announce the founding of a new merchant company that will operate in the Niger delta.  It looks like $FROMCOUNTRY$ has ambitions in southern Nigeria...;;;;;;;;;;;;;
EVT98906OPTA;This cannot harm us, right?;;;;;;;;;;;;;
EVTNAME6016825;Abolishing Serfdom;;;;;;;;;;;;;
EVTDESC6016825;All preparations are ready for the country to abolish serfdom.;;;;;;;;;;;;;
EVTNAME6016824;The Vassalization of $FROMCOUNTRY$;;;;;;;;;;;;;
EVTDESC6016824;As result of a recent war, $FROMCOUNTRY$ was transferred to us in vassalage. Officials in $CAPITAL$ are finishing the preparations to welcome the $FROMCOUNTRY_ADJ$ people in the $COUNTRY_ADJ$ empire.;;;;;;;;;;;;;
EVT6016824OPTA;We welcome the $FROMCOUNTRY_ADJ$.;;;;;;;;;;;;;
EVTNAME6016822;Shifting Vassalage;;;;;;;;;;;;;
EVTDESC6016822;$FROMCOUNTRY$ has vassals under their command. Their national union with the $COUNTRY_ADJ$ government in $YEAR$ prompted officials in $CAPITAL$ to scramble to prepare the $FROMCOUNTRY_ADJ$ vassals - now our vassals - integration in $COUNTRY$.;;;;;;;;;;;;;
EVT6016822OPTA;As expected.;;;;;;;;;;;;;
EVTNAME6016823;The New $FROMCOUNTRY_ADJ$ Masters;;;;;;;;;;;;;
EVTDESC6016823;With the union of our old masters in the greater country of $FROMCOUNTRY$, our new overlords started to make the arrangements for our renewed vassalage to the $FROMCOUNTRY_ADJ$ government.;;;;;;;;;;;;;
EVT6016823OPTA;We have no choice in this matter.;;;;;;;;;;;;;
EVTNAME971714;The Falangist Doctrine;;;;;;;;;;;;;
EVTDESC971714;For years the Spanish people have been humiliated by foreign rule and unfair treaties. No more! The new government in $CAPITAL$ outlined an aggressive agenda to reclaim the lost lands belonging to the Spanish people, by whatever means necessary. These claims involve a massive propaganda effort to give weight to our claims and show the rights of the Spanish people over what was unjustly taken from us. The focus of these pieces will be...;;;;;;;;;;;;;
EVT971714OPTA;Gibraltar, ours by right.;;;;;;;;;;;;;
EVT971714OPTB;The Basques, the Catalans and Gibraltar are Spain's right.;;;;;;;;;;;;;
EVT971714OPTC;The Iberian peninsula belongs to Spain.;;;;;;;;;;;;;
EVT971714OPTD;All of the people of Iberia are subjects of Spain.;;;;;;;;;;;;;
EVTNAME5000001;The Megali Idea;;;;;;;;;;;;;
EVTDESC5000001;The Greek government has chosen to actively pursue a strategy of recovering Greek lands held by the Turks. We now have the political clout in the international stage to give a serious voice and weight to these claims. The question remains, however, in which parts should we focus on.;;;;;;;;;;;;;
EVT5000001OPTA;We are only interested in Thrace.;;;;;;;;;;;;;
EVT5000001OPTB;Everything we can claim in the the coast of Anatolia.;;;;;;;;;;;;;
EVT5000001OPTC;All that we have a right to.;;;;;;;;;;;;;
EVTNAME90911;$FROMCOUNTRY$ Colonial Lands;;;;;;;;;;;;;
EVTDESC90911;These lands should now correctly have colonial status.;;;;;;;;;;;;;
EVTOPTA90911;Everything is as it should be.;;;;;;;;;;;;;
EVTNAME971713;End of the Silver Fever;;;;;;;;;;;;;
EVTDESC971713;Following the "silver fever" in Sierra Almagrera, within little more than a decade the population of Cuevas doubled from 8000 to 16000. Many of the mines flooded in the 1870s but the discovery in other veins of argentiferous iron brought a renewal of mining activity, due largely to the energies of the entrepreneur Jose Maria Munoz, whose statue now stands in the town square. The landscape of much of the Sierra Almagrera displays evidence of mining activities, with the most significant at Barranco del Chaparral where a steam engine of 1873 made in Reading, England, stands at the head of a shaft, together with the wooden winding drums that it operated. In $YEAR$, however, this equipment is largely abandoned. No more veins were found, and the mining in the area all but grinded to a halt.;;;;;;;;;;;;;
EVT971713OPTA;It was good while it lasted.;;;;;;;;;;;;;
EVTNAME971712;Silver Fever;;;;;;;;;;;;;
EVTDESC971712;Cuevas de Almanzora, 70 km north-east of Almeria, is the principal town of the mining district in the Sierra Almagrera, a range of mountains that runs parallel to the coast for about 12 kms. Minerals are worked in the region from prehistoric times but following research carried out by the Escuela de Minas in Madrid, several veins of argentiferous lead were discovered, leading to something the natives call "silver fever".;;;;;;;;;;;;;
EVT971712OPTA;Save some for me!;;;;;;;;;;;;;
EVTNAME1100057;Mexico Refuses to Pay Reparations;;;;;;;;;;;;;
EVTDESC1100057;The Mexican government refused to take any steps towards the payment of reparations to the French government. In $CAPITAL$, senior government figures scramble to organize a response as the gears of war start moving. It seems like a French intervention in Mexico is all but inevitable now.;;;;;;;;;;;;;
EVT1100057OPTA;If they are unwilling to pay peacefully, we will force them.;;;;;;;;;;;;;
EVT1100057OPTB;They are not worth our time.;;;;;;;;;;;;;
EVTNAME1100056;Mexico Agrees to Pay Reparations;;;;;;;;;;;;;
EVTDESC1100056;Mexico has agreed to our demands for reparations and paid the sum they owe us for the damage done to the property of French nationals. The matter has been settled peacefully and amicably.;;;;;;;;;;;;;
EVT1100056OPTA;It is only fair.;;;;;;;;;;;;;
EVTNAME1100055;The French Demand Reparations;;;;;;;;;;;;;
EVTDESC1100055;During the early years of the new Mexican republic there was widespread civil disorder as factions competed for control of the country. The fighting often resulted in the destruction or looting of private property. Foreigners whose property was damaged or destroyed by rioters or bandits were usually unable to obtain compensation from the Mexican government and they began to appeal to their own governments for help and compensation. In a complaint to the French ruler, a French pastry chef known only as Monsieur Remontel claimed that in 1832 Mexican officers looted his shop in Tacubaya. Now the French prime minister Louis-Mathieu Molé is demanding a payment of 600,000 pesos (3 million Francs - 120,000¤) in damages to compensate the French nationals.;;;;;;;;;;;;;
EVT1100055OPTA;It is only fair. §R(Pay or owe 120,000¤)§W;;;;;;;;;;;;;
EVT1100055OPTB;Refuse. They wouldn't go to war over a Pastry chef.;;;;;;;;;;;;;
EVTNAME1100054;The Baker and the $MONARCHTITLE$;;;;;;;;;;;;;
EVTDESC1100054;During the early years of the new Mexican republic there was widespread civil disorder as factions competed for control of the country. The fighting often resulted in the destruction or looting of private property. Foreigners whose property was damaged or destroyed by rioters or bandits were usually unable to obtain compensation from the Mexican government and they began to appeal to their own governments for help and compensation. In a complaint to the French $MONARCHTITLE$, a French pastry chef known only as Monsieur Remontel claimed that in 1832 Mexican officers looted his shop in Tacubaya. Other complaints from French nationals (among them the looting in 1828 of French shops at the Parian market and the execution in 1837 of a French citizen accused of piracy) culminated in $YEAR$ with prime minister Louis-Mathieu Molé recommending a demand from Mexico for the payment of 600,000 pesos (3 million Francs - 120,000¤) in damages.;;;;;;;;;;;;;
EVT1100054OPTA;Mexico needs to be held responsible.;;;;;;;;;;;;;
EVT1100054OPTB;We should not bother with such trivial matters.;;;;;;;;;;;;;
EVTNAME45108;$FROMCOUNTRY_ADJ$ Intervention in $COUNTRY$;;;;;;;;;;;;;
EVTDESC45108;After refusing to pay our debt to the $FROMCOUNTRY$, a bloody war ensued. Now, as the result of our latest defeat, the $FROMCOUNTRY$ sent a squadron to enforce their will and collect the $COUNTRY_ADJ$ debt.;;;;;;;;;;;;;
EVT45108OPTA;We have no other option but to pay.;;;;;;;;;;;;;
EVTNAME45107;Haiti Fails to Honour its Debts;;;;;;;;;;;;;
EVTDESC45107;Haiti’s legacy of debt began shortly after gaining independence from France in 1804. In 1825, France, with warships at the ready, demanded Haiti compensate France for its loss of slaves and its slave colony. In exchange for French recognition of Haiti as a sovereign republic, France demanded payment of 150 million francs. In addition to the payment, France required that Haiti discount its exported goods to them by 50%. In $YEAR$, France agreed to reduce the debt to 90 million francs (500,000¤) to be paid over a period of 30 years to compensate former plantation owners who had lost their property. Haiti, however, still refuses to pay what is owed to us and will not do so unless we use force.;;;;;;;;;;;;;
EVT45107OPTA;We will take what is owed to us.;;;;;;;;;;;;;
EVT45107OPTB;To safeguard French assets, the Haitian government must be controlled.;;;;;;;;;;;;;
EVT45107OPTC;Clearly, the Haitians are not fit to rule themselves.;;;;;;;;;;;;;
EVT45107OPTD;They are not worth our time.;;;;;;;;;;;;;
EVTNAME45106;Haiti's Debts to France;;;;;;;;;;;;;
EVTDESC45106;Haiti’s legacy of debt began shortly after gaining independence from France in 1804. In 1825, France, with warships at the ready, demanded Haiti compensate France for its loss of slaves and its slave colony. In exchange for French recognition of Haiti as a sovereign republic, France demanded payment of 150 million francs. In addition to the payment, France required that Haiti discount its exported goods to them by 50%. In $YEAR$, France agreed to reduce the debt to 90 million francs to be paid over a period of 30 years to compensate former plantation owners who had lost their property. This is the best deal we can get, and refusing to honour our debt will likely result in French intervention.;;;;;;;;;;;;;
EVT45106OPTA;We must honour our agreements.§R(Pay or owe 500,000¤)§W;;;;;;;;;;;;;
EVT45106OPTB;We owe nothing to the French.;;;;;;;;;;;;;
EVTNAME97084;The Andean War in the Pacific;;;;;;;;;;;;;
EVTDESC97084;The Andine nations are in a state of war due to a territorial dispute. As an influential power in the region, we can choose to intervene or remain neutral in this dispute.;;;;;;;;;;;;;
EVT97084OPTA;We shall not interfere.;;;;;;;;;;;;;
EVT97084OPTB;We already picked a side.;;;;;;;;;;;;;
EVTNAME90058;The Schleswig War;;;;;;;;;;;;;
EVTDESC90058;The Danish are fighting the Germans in their intervention in Schleswig. Helping our Scandinavian brothers will help strengthen the bound between our countries, while failing to help them might gravely hamper our efforts for an united Scandinavia.;;;;;;;;;;;;;
EVT90058OPTA;We will help.;;;;;;;;;;;;;
EVT90058OPTB;We will not get involved.;;;;;;;;;;;;;
EVTNAME199073;Tea Plantations in $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC199073;With his servant Wang walking five paces ahead to announce his arrival, Robert Fortune, dressed in his mandarin garb, entered the gates of a green tea factory. Wang began to supplicate frantically. Would the master of the factory allow an inspection from a visitor, an honoured and wise official who had travelled from a far province to see how such glorious tea was made? In 1848, the British East India Company sent Robert Fortune on a trip to China's interior, an area forbidden to foreigners. Fortune's mission was to steal the secrets of tea horticulture and manufacturing. The Scotsman donned a disguise and headed into the Wu Si Shan hills in a bold act of corporate espionage. This, in turn, resulted in the Chinese losing their tea monopoly and in $PROVINCE$, the first tea plantations are yielding their first harvest, a testament to the end of the monopoly.;;;;;;;;;;;;;
EVTOPTA199073;Tea shouldn't be a monopoly.;;;;;;;;;;;;;
EVTOPTA23401;Yes, it is an excellent opportunity to show our nation's progress. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTOPTA23400;An excellent idea! We accept. §R(Pay or owe 50,000¤)§W;;;;;;;;;;;;;
EVTNAME44157;Foreign Influence in Hawaii;;;;;;;;;;;;;
EVTDESC44157;When the American missionaries first came to our shores in the 1820's, few could foresee what their activity would lead to. They spread their religion, helped our people read and write, and brought with them their families and other outsiders that settled in $COUNTRY$. $CAPITAL$ became an important port for trade, frequently visited by Europeans during their voyages through the pacific, and the monarchy gained access to luxury items and technologies our people never dreamt of. But with the good came the bad: diseases previously unknown spread and devastated the population, growing interests in the Pacific led to a French Admiral sacking $CAPITAL$, the introduction of private property for the plantation of sugar led to competition between foreigners and Hawaiians and the American growing influence culminated in pressure for reforms, leading to sweeping changes to the Hawaiian monarchy. More foreigners arrive as the Hawaiians decline and the Great Powers from overseas set their eyes on Hawaii.;;;;;;;;;;;;;
EVT44157OPTA;What does the future hold for the $COUNTRY_ADJ$ people?;;;;;;;;;;;;;
EVTNAME11002;The $MONARCHTITLE$'s Speech;;;;;;;;;;;;;
EVTDESC11002;In this grave hour, perhaps the most fateful in our history, I send to every household of my peoples, both at home and overseas, this message, spoken with the same depth of feeling for each one of you as if I were able to cross your threshold and speak to you myself. It is for a high purpose that I now call my people at home, and my peoples across the seas, who will make our cause their own. I ask them to stand calm and firm and united in this time of trial.\nThe $COUNTRY_ADJ$ $MONARCHTITLE$ delivered an impassioned speech today in $CAPITAL$, just the start of a campaign to gather support among the population and the government for their goal of...;;;;;;;;;;;;;
EVTOPTA11002;...drum up support for war.;;;;;;;;;;;;;
EVTOPTB11002;...boosting the government's popularity.;;;;;;;;;;;;;
EVTNAME11001;The Dissolution of the $COUNTRY_ADJ$ Upper House;;;;;;;;;;;;;
EVTDESC11001;Ministers and bureaucrats arrived in $CAPITAL$ today to find a royal decree at the government's doors: the $COUNTRY_ADJ$ monarch has dissolved the $COUNTRY_ADJ$ Upper House, effective immediately, and a new one is to be hand-picked by the monarch. The news sent shock waves through the $COUNTRY_ADJ$ nobility - used to the occasional replacements, but not to such an earth-shattering and drastic extent. Dissatisfaction is rampant, with many speculating (behind closed doors) that the monarch is setting up minor nobles, mostly sycophants and toadies, to execute the whims of the crown. A few of the old servants of the crown in the nobility kept their positions in order to train and guide the newcomers, but there's already evidence of lasting disruption in the state's affairs. The new upper house is set to have a majority of...;;;;;;;;;;;;;
EVTOPTA11001;...liberal nobles.;;;;;;;;;;;;;
EVTOPTB11001;...reactionary aristocrats.;;;;;;;;;;;;;
