;;;;;;;;;;;;;;
PROV2477;Warrnambool;;;;;;;;;;;;;
PROV1795;Bambuhu;;;;;;;;;;;;;
PROV1905;Sia;;;;;;;;;;;;;
PROV1981;Elba;;;;;;;;;;;;;
PROV2131;Falkland & South Georgia;;;;;;;;;;;;;
PROV3319;Vahitahi;;;;;;;;;;;;;
PROV3320;Vairaatea;;;;;;;;;;;;;
PROV3321;Nukutavake;;;;;;;;;;;;;
PROV3322;Pinaki;;;;;;;;;;;;;
FRA_411;洛林;;;;;;;;;;;;;
PROV934;Samawah;;;;;;;;;;;;;
AUS_627;下西里西亚;;;;;;;;;;;;;
ABU_1162;波斯湾;;;;;;;;;;;;;
EGY_897;西叙利亚;;;;;;;;;;;;;
EGY_903;东叙利亚;;;;;;;;;;;;;
PROV928;Baqubah;;;;;;;;;;;;;
PROV1813;Hasakah;;;;;;;;;;;;;
PROV907;Deir ez-Zor;;;;;;;;;;;;;
PROV901;Raqqah;;;;;;;;;;;;;
PROV2133;Gizab;;;;;;;;;;;;;
PROV1214;Zaranj;;;;;;;;;;;;;
PROV582;Bielefeld;;;;;;;;;;;;;
FRA_400;香槟;;;;;;;;;;;;;
PROV2346;Colonia;;;;;;;;;;;;;
PROV1447;Taliabu;;;;;;;;;;;;;
BEL_1977;下刚果;;;;;;;;;;;;;
TUR_832;Thessaly;;;;;;;;;;;;;
PROV1972;Baraka;;;;;;;;;;;;;
EGY_1758;西部沙漠;;;;;;;;;;;;;
PROV1895;Daloa;;;;;;;;;;;;;
FRA_1775;毛里塔尼亚海岸;;;;;;;;;;;;;
PROV2721;黑尔戈兰湾;;;;;;;;;;;;;
RUS_959;沃伦;;;;;;;;;;;;;
druze;德鲁兹派;;;;;;;;;;;;;
PROV911;马安;;;;;;;;;;;;;
PROV910;阿兹拉克;;;;;;;;;;;;;
PROV2582;卡塔罗;;;;;;;;;;;;;
PROV1839;富拉;;;;;;;;;;;;;
PROV1739;贾卢德;;;;;;;;;;;;;
PROV1806;巴俞达;;;;;;;;;;;;;
PROV2046;姆贝亚;;;;;;;;;;;;;
PROV1850;克伦;;;;;;;;;;;;;
AUS_733;弗留利;;;;;;;;;;;;;
PAP_741;艾米利亚-罗马涅;;;;;;;;;;;;;
mining_district;Mining District;;;;;;;;;;;;;
new_world_semidesert;沙漠灌木丛;;;;;;;;;;;;;
new_world_desert;沙漠;;;;;;;;;;;;;
new_world_boreal;北方针叶林;;;;;;;;;;;;;
new_world_montane_tundra;高山苔原;;;;;;;;;;;;;
new_world_arctic;苔原;;;;;;;;;;;;;
new_world_mountain;山地草原;;;;;;;;;;;;;
new_world_jungle;丛林;;;;;;;;;;;;;
new_world_plains;草原;;;;;;;;;;;;;
new_world_small_island;岛屿;;;;;;;;;;;;;
arid_climate;干旱气候;;;;;;;;;;;;;
CANAL_6;英吉利海峡;;;;;;;;;;;;;
GRE_837;希腊中部;;;;;;;;;;;;;
PROV2669;松德里奥;;;;;;;;;;;;;
PROV8;Belluno;;;;;;;;;;;;;
PROV2351;马格达莱纳;;;;;;;;;;;;;
PROV10;Pescara;;;;;;;;;;;;;
PROV3318;Lake Saimaa;;;;;;;;;;;;;
PROV3317;Lake P鋓j鋘ne;;;;;;;;;;;;;
PROV3316;Lake Ouluj鋜vi;;;;;;;;;;;;;
PROV3315;Lake Segozero;;;;;;;;;;;;;
PROV3314;Lake Storsj鰊;;;;;;;;;;;;;
PROV3313;Lake Siljan;;;;;;;;;;;;;
PROV3312;Lake Hj鋖maren;;;;;;;;;;;;;
PROV3311;Lough Neagh;;;;;;;;;;;;;
PROV3310;Hulun Lake;;;;;;;;;;;;;
PROV3309;Namak Lake;;;;;;;;;;;;;
PROV3308;Khar Us Lake;;;;;;;;;;;;;
PROV3307;Khyargas Lake;;;;;;;;;;;;;
PROV3306;Uvs Lake;;;;;;;;;;;;;
PROV3305;Khovsgol Lake;;;;;;;;;;;;;
PROV3304;Lake Zaysan;;;;;;;;;;;;;
PROV3303;Lake Alakol;;;;;;;;;;;;;
PROV3302;Khanka Lake;;;;;;;;;;;;;
PROV3301;Hung-tse Lake;;;;;;;;;;;;;
PROV3300;Siling Lake;;;;;;;;;;;;;
PROV3299;Chott Chergui;;;;;;;;;;;;;
PROV3298;Chott el Hodna;;;;;;;;;;;;;
PROV3297;Chott Melghir;;;;;;;;;;;;;
PROV3296;Chott el Djerid;;;;;;;;;;;;;
PROV3295;太湖;;;;;;;;;;;;;
PROV3294;Lake Mweru;;;;;;;;;;;;;
PROV3293;Lake Rukwa;;;;;;;;;;;;;
PROV3292;Lake Argyle;;;;;;;;;;;;;
PROV3291;Lake Mackay;;;;;;;;;;;;;
PROV3290;Lake Eyre;;;;;;;;;;;;;
PROV3289;Lake Frome;;;;;;;;;;;;;
PROV3288;Lake Torrens;;;;;;;;;;;;;
PROV3287;Lake Gairdner;;;;;;;;;;;;;
PROV3286;Songkhla Lake;;;;;;;;;;;;;
PROV3285;Fagnano Lake;;;;;;;;;;;;;
PROV12;Sado;;;;;;;;;;;;;
PROV1531;坦博拉;;;;;;;;;;;;;
PROV2537;比拉拉;;;;;;;;;;;;;
PROV158;德卢斯;;;;;;;;;;;;;
PROV29;克孜勒库姆;;;;;;;;;;;;;
PROV2595;努纳武特;;;;;;;;;;;;;
PROV25;旧弓堡;;;;;;;;;;;;;
PROV6;塞尔扣克;;;;;;;;;;;;;
PROV35;皮特堡;;;;;;;;;;;;;
PROV28;贾斯帕;;;;;;;;;;;;;
PROV26;落基山脉公司;;;;;;;;;;;;;
PROV22;邦尼维尔;;;;;;;;;;;;;
PROV24;切斯特菲尔德堡;;;;;;;;;;;;;
PROV34;卡尔顿堡;;;;;;;;;;;;;
PROV33;艾伯特王子城;;;;;;;;;;;;;
PROV41;埃利斯堡;;;;;;;;;;;;;
PROV2594;奥斯纳堡公司;;;;;;;;;;;;;
PROV49;拉特波蒂奇;;;;;;;;;;;;;
PROV52;奥里利亚;;;;;;;;;;;;;
PROV75;巴斯克港;;;;;;;;;;;;;
PROV69;小瀑布;;;;;;;;;;;;;
PROV683;瓦尔登堡;;;;;;;;;;;;;
PROV43;克拉克斯维尔;;;;;;;;;;;;;
PROV134;帕克斯堡;;;;;;;;;;;;;
PROV135;埃斯塔克多平原;;;;;;;;;;;;;
PROV85;索诺玛;;;;;;;;;;;;;
urban;城市;;;;;;;;;;;;;
FRA_1901;乌埃;;;;;;;;;;;;;
ASH_1910;沃尔特;;;;;;;;;;;;;
PROV155;斯奈尔堡;;;;;;;;;;;;;
PROV156;雷维尔堡;;;;;;;;;;;;;
PROV157;里普利堡;;;;;;;;;;;;;
PROV92;库里斯佩尔;;;;;;;;;;;;;
PROV93;霍尔堡;;;;;;;;;;;;;
PROV123;罗比度堡;;;;;;;;;;;;;
PROV124;波尔多驿站;;;;;;;;;;;;;
PROV125;丰特内尔驿站;;;;;;;;;;;;;
PROV126;莱文沃思堡;;;;;;;;;;;;;
PROV127;马恩堡;;;;;;;;;;;;;
PROV113;加拉廷山谷;;;;;;;;;;;;;
