Key;English;;;;;;;;;;;;;
jizya;Jizya;;;;;;;;;;;;;
jizya_desc;The Jizya is a per capita yearly taxation historically levied in the form of financial charge on permanent non-Muslim subjects (dhimmi) in order to fund public expenditures of the state, in place of the Zakat and Khums that Muslims are obliged to pay. In return, the dhimmi are granted protected status under law.;;;;;;;;;;;;;
umar_pact;The Pact of Umar;;;;;;;;;;;;;
orthodox;Eastern Orthodox;;;;;;;;;;;;;
coptic;Oriental Orthodox;;;;;;;;;;;;;
exclusive_acquire_all_cores_CB;Acquire All Cores CB;;;;;;;;;;;;;
exclusive_humiliate_CB;Humiliate CB;;;;;;;;;;;;;
exclusive_liberate_country_CB;Liberate Country CB;;;;;;;;;;;;;
exclusive_make_puppet_CB;Make Puppet CB;;;;;;;;;;;;;
core_when_done;Add Core;;;;;;;;;;;;;
legation_quarter_desc;The Legation Quarter is an area in our capital where a number of foreign legations are located. It creates some unrest, but the contributions to our research progress are invaluable.;;;;;;;;;;;;;
western_presence_research;Western Presence;;;;;;;;;;;;;
western_presence_research_desc;Shipwrecked westerners can be trouble in our peaceful community, but we can learn much from them.;;;;;;;;;;;;;
european_military_mission_desc;Europeans established a military mission in our country, providing us with their valuable military expertise.;;;;;;;;;;;;;
central_bank_instituted;Central Bank Created;;;;;;;;;;;;;
failed_unification_remove_from_sphere;Remove from Sphere;;;;;;;;;;;;;
debt_system_cooldown;Payment Made;;;;;;;;;;;;;
debt_system_cooldown_desc;A payment was made.;;;;;;;;;;;;;
local_conveyors_and_excavators;Conveyor Belts and Excavators;;;;;;;;;;;;;
ryotwari;The Ryotwari System;;;;;;;;;;;;;
partisan_occupation;Partisan Rule;;;;;;;;;;;;;
ryotwari_desc;The Ryotwari system was a land revenue system in British India, introduced by Sir Thomas Munro in 1820 based on system administered by Captain Alexander Reid in the Baramahal district. It allowed the government to deal directly with the peasant (ryot) for revenue collection, and gave the peasant freedom to give up or acquire new land for cultivation. The peasant was assessed for only the lands he was cultivating.;;;;;;;;;;;;;
supported_balkans_berlin_congress;Backs the Balkans;;;;;;;;;;;;;
attending_berlin_congress;Attending Conference;;;;;;;;;;;;;
supported_oe_berlin_congress;Backs the Turks;;;;;;;;;;;;;
coward_ai;Coward Ruler;;;;;;;;;;;;;
desc_coward_ai;The ruler of this country is cowardly and unlikely to get into conflict.;;;;;;;;;;;;;
benefactor_ai;Benevolent Ruler;;;;;;;;;;;;;
desc_benefactor_ai;The ruler of this country is benevolent and non bellicose.;;;;;;;;;;;;;
malevolent_ai;Malevolent Ruler;;;;;;;;;;;;;
desc_malevolent_ai;The ruler of this country is malicious and bellicose.;;;;;;;;;;;;;
picking_personality;Ruler Personality;;;;;;;;;;;;;
desc_picking_personality;This country's ruler personality was chosen.;;;;;;;;;;;;;
government_busy_with_something;Busy Government;;;;;;;;;;;;;
internment_camps_open;Internment Camps;;;;;;;;;;;;;
evidence_of_massacre2;Evidence of Massacres Leaks;;;;;;;;;;;;;
evidence_of_massacre2_desc;Damning evidence of massacres happening in our country are proving to be a stain in our reputation.;;;;;;;;;;;;;
evidence_of_massacre;Evidence of Massacres Leaks;;;;;;;;;;;;;
evidence_of_massacre_desc;Damning evidence of massacres happening in our country are proving to be a stain in our reputation.;;;;;;;;;;;;;
local_tractors;Tractors and Trawlers;;;;;;;;;;;;;
desc_local_tractors;Mechanized farming and fishing has arrived in this province in the form of tractors and fishing trawlers, increasing the efficiency, and reducing the labour intensity, of local farming.;;;;;;;;;;;;;
interment_camps;Directive No. 1;;;;;;;;;;;;;
interment_camps_desc;Directive No. 1 is the name given to a series of measures our country is currently undertaking to quell internal dissent. ;;;;;;;;;;;;;
war_propaganda;War Propaganda;;;;;;;;;;;;;
war_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our war policies.;;;;;;;;;;;;;
government_propaganda;Government Propaganda;;;;;;;;;;;;;
government_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our government policies.;;;;;;;;;;;;;
war_focus;War Focused;;;;;;;;;;;;;
war_focus_desc;This war is for one objective and one only.;;;;;;;;;;;;;
loyal_vassal;Loyal Vassal;;;;;;;;;;;;;
loyal_vassal_desc;We will stand by our protectors.;;;;;;;;;;;;;
substate_nation_player;Substate;;;;;;;;;;;;;
in_disrepair;Disrepair;;;;;;;;;;;;;
in_disrepair_desc;Buildings in this province were neglected for so long they are falling apart.;;;;;;;;;;;;;
nationalization_in_progress;Nationalization in Progress;;;;;;;;;;;;;
nationalization_in_progress_desc;Our government is currently undertaking a nationalization effort. No longer will foreigners hold a sway in our sovereign industry. ;;;;;;;;;;;;;
factories_nationalized;Nationalized Factories;;;;;;;;;;;;;
factories_nationalized_desc;Our factories in another country were nationalized. This is a blow to the prestige of our country.;;;;;;;;;;;;;
santa_ana_rule;Antonio López de Santa Anna;;;;;;;;;;;;;
santa_ana_rule_desc;Antonio de Padua María Severino López de Santa Anna y Pérez de Lebrón - also known as Santa Anna - is the current ruler of Mexico. A hero of the war of independence, his shifting political views and actions have made him an enigmatic figure.;;;;;;;;;;;;;
forceful_back_to_africa;Back to Africa Act;;;;;;;;;;;;;
forceful_back_to_africa_desc;Without the shackles of the democratic rules, the government has declared an order for the forceful repatriation of all African diaspora cultures in our country.;;;;;;;;;;;;;
ostflucht;Ostflucht;;;;;;;;;;;;;
ostflucht_desc;Poverty is driving people to the west.;;;;;;;;;;;;;
considering_colonial_offer;Considering Colonial Offer;;;;;;;;;;;;;
considering_colonial_offer_desc;We are currently discussing one colonial possibility of a recently dismantled country.;;;;;;;;;;;;;
dismantling_country;Dismantling Country;;;;;;;;;;;;;
dismantling_country_desc;Our diplomatic efforts are currently centred in the dismantlement of another country.;;;;;;;;;;;;;
being_dismantled;Under Dismantlement;;;;;;;;;;;;;
being_dismantled_desc;Our country has lost and its empire is being divided by the winners.;;;;;;;;;;;;;
claiming_neuchatel;Claims on Neuchatel;;;;;;;;;;;;;
the_long_war;The Long War;;;;;;;;;;;;;
the_long_war_desc;One of our wars has been dragging for long - for too long. The international community begun to see our war as an extermination effort against our enemies.;;;;;;;;;;;;;
research_lagging_behind;Modernization Effort;;;;;;;;;;;;;
research_lagging_behind_desc;Our country is devoting all its resources to implement needed technological reforms.;;;;;;;;;;;;;
high_inflation_1;High Inflation;;;;;;;;;;;;;
high_inflation_1_desc;In economics, inflation is a sustained increase in the general price level of goods and services in an economy over a period of time. When the general price level rises, each unit of currency buys fewer goods and services. Consequently, inflation reflects a reduction in the purchasing power per unit of money – a loss of real value in the medium of exchange and unit of account within the economy. A long sustained period of inflation is caused by money supply growing faster than the rate of economic growth. Inflation may also lead to an invisible tax in which the value of currency is lowered in contrast with its actual reserve, ultimately leading individuals to hold devalued legal tender.;;;;;;;;;;;;;
high_inflation_2;High Inflation;;;;;;;;;;;;;
high_inflation_2_desc;In economics, inflation is a sustained increase in the general price level of goods and services in an economy over a period of time. When the general price level rises, each unit of currency buys fewer goods and services. Consequently, inflation reflects a reduction in the purchasing power per unit of money – a loss of real value in the medium of exchange and unit of account within the economy. A long sustained period of inflation is caused by money supply growing faster than the rate of economic growth. Inflation may also lead to an invisible tax in which the value of currency is lowered in contrast with its actual reserve, ultimately leading individuals to hold devalued legal tender.;;;;;;;;;;;;;
high_inflation_3;Hyperinflation;;;;;;;;;;;;;
high_inflation_3_desc;Hyperinflation is very high and typically accelerating inflation. It quickly erodes the real value of the local currency, as the prices of all goods increase. This causes people to minimize their holdings in that currency as they usually switch to more stable foreign currencies. Hyperinflation is often associated with some stress to the government budget, such as wars or their aftermath, sociopolitical upheavals, a collapse in export prices, or other crises that make it difficult for the government to collect tax revenue.;;;;;;;;;;;;;
homeland_productive_year;Bountiful Year;;;;;;;;;;;;;
homeland_productive_year_desc;This year has been especially good for our country.;;;;;;;;;;;;;
severe_homeland_drought;Severe Drought;;;;;;;;;;;;;
severe_homeland_drought_desc;A severe drought is hitting this province.;;;;;;;;;;;;;
homeland_drought;Drought;;;;;;;;;;;;;
homeland_drought_desc;This province is currently under a drought.;;;;;;;;;;;;;
disable_conquest_cb;Conquest CB Disabled;;;;;;;;;;;;;
disable_conquest_cb_desc;As we are currently committed to the liberty of a country, it would be unthinkable that we make a move to end the independence of another country.;;;;;;;;;;;;;
colony_to_state_conversion;Colony to State Conversion;;;;;;;;;;;;;
