Key;English;;;;;;;;;;;;;
bayonet_charge;刺刀冲锋;;;;;;;;;;;;;
bayonet_charge_desc;The development of the bayonet in the late 17th century led to the bayonet charge becoming the main infantry tactic through the 19th century and into the 20th. As early as the 19th century, military scholars were already noting that most bayonet charges did not result in close combat. Instead, one side usually fled before actual bayonet fighting ensued. The act of fixing bayonets has been held to be primarily connected to morale, the making of a clear signal to friend and foe of a willingness to kill at close quarters.;;;;;;;;;;;;;
portland_cement;人造水泥;;;;;;;;;;;;;
portland_cement_desc;The cements now in the market are of two kinds: natural, made directly from stone and artificial, commonly called Portland cement. The manufacture of the former consists simply in burning and grinding the cement stone. Artificial cement consists of about sixty-two per cent of lime mixed with silica and silicate of alumina in nearly the same proportions as those found in the cement stone, and it is free from magnesia. This seems to be the whole difference in its constitution. In use, the artificial cement sets rapidly and attains maximum hardness in a comparatively short time, the natural cement hardens rather slowly and reaches its maximum hardness only after a long period of exposure to the air. Artificial cement, however, allowed the widespread manufacturing of cement, not anchored to the availability of cement stone.;;;;;;;;;;;;;
canning_process;罐装工艺;;;;;;;;;;;;;
canning_process_desc;The canning process was invented after prolonged research by Nicolas Appert of France in 1809, in response to a call by his government for a means of preserving food for army and navy use. Appert抯 method consisted of tightly sealing food inside a bottle or jar, heating it to a certain temperature, and maintaining the heat for a certain period, after which the container was kept sealed until use. In 1810 Peter Durand of England patented the use of tin-coated iron cans instead of bottles, and by 1820 he was supplying canned food to the Royal Navy in large quantities.;;;;;;;;;;;;;
industrial_sawmills;蒸汽动力锯木厂;;;;;;;;;;;;;
industrial_sawmills_desc;By the time of the Industrial Revolution, the circular saw blade had been invented, and with the development of steam power  a much greater degree of mechanisation in sawmills is possible. Scrap lumber from the mill provides a source of fuel for firing the boiler. Efficiency is increased, but the capital cost of a new mill increased dramatically as well.;;;;;;;;;;;;;
industrial_furniture_production;工业化家具生产;;;;;;;;;;;;;
industrial_furniture_production_desc; Where previously carpenters and joiners had made furniture along with every kind of building construction in wood, several circumstances combined to create a new profession: that of the cabinetmaker. The growth of cabinetmaking as a trade of its own eventually resulted in a considerable degree of standardization of methods of construction, particularly in the types of joints used and in the thicknesses of wood for the various parts. It also resulted in an increased division of labour: turners, carvers, chairmakers, upholsterers all worked in their respective roles to make and assemble furniture. In the new system of construction, plain, flat parts are dovetailed together and then veneered. It can be contrasted with the traditional framed method of rails and stiles put together with mortise and tenon joints, the panels fitting in grooves. A large store often retained its own workshops where special items were made to customers? requirements, but for the greater part it became the practice to buy wholesale from furniture making firms.;;;;;;;;;;;;;
industrial_luxury_furniture_production;工业化高档家具生产;;;;;;;;;;;;;
industrial_luxury_furniture_production_desc;Marquetry is the centerpiece of the decorative use of the grain and colour of wood in surfaces unbroken by panelling for luxury furniture. To produce the desired effect, the 閎閚iste, or specialist in marquetry, either drew the pattern directly on the base wood or affixed a paper pattern onto the wood. The thin sheets were then cut out with a burin or, later, sometimes with a saw, the pattern assembled and glued onto the carcass. Marquetry patterns became more and more complex and, though often floral, they could also include geometric and narrative subjects. The range of materials used also became more varied, including not only rare tropical woods and metals such as silver, bronze, and brass but also a wide range of other materials of a semiprecious nature.;;;;;;;;;;;;;
industrial_paper_production;连续造纸机;;;;;;;;;;;;;
industrial_paper_production_desc;Before the invention of continuous paper making, paper was made in individual sheets by stirring a container of pulp slurry and either pouring it into a fabric sieve called a sheet mould or dipping and lifting the sheet mould from the vat. While still on the fabric in the sheet mould, the wet paper was pressed to remove excess water. The sheet was then lifted off to be hung over a rope or wooden rod to air dry. The Fourdrinier machine, the first continuous one, changed all that. It uses a specially woven fabric mesh conveyor belt in the forming section, where a slurry of fibre is drained to create a continuous paper web, with paper left in a horizontal drainage area, referred to as the drainage table.;;;;;;;;;;;;;
commerce_raiders;蒸汽护卫舰;;;;;;;;;;;;;
friedrich_engels_desc;As a young man Engels went to Manchester to help his father manage his cotton-factory. Engels was shocked by the poverty in the city and began writing an account that was published as Condition of the Working Classes in England (1844). Here Engels met Marx with whom he would write and try to organize the international worker organizations for the rest of his life. Engels lived in the shadows of Marx's intellectually, but economically he financed Marx so that he could write. Basically there wouldn't have been a Marx without an Engels and vice versa.;;;;;;;;;;;;;
commerce_raiders_desc;This first generation of steam warships are "paddle warships" (in the categories of frigate, sloop, gunvessel or other). They use paddlewheels mounted on either side or in the center. Because of the space taken by the machinery and the paddle wheels, the traditional broadside placement of guns is impossible on paddle ships. Therefore the ships were generally equipped with only a few very heavy guns mounted on pivots and slides.;;;;;;;;;;;;;
james_mill;詹姆斯·穆勒;;;;;;;;;;;;;
james_mill_desc;James Mill was a radical thinker that worked in the shadows of the brilliant Jeremy Bentham. Together these two men can be described as the inventors of Utilitarianism, and much of its general applicability was explained in Mill's works, Elements of Political Economy (1821) and Analysis of the Phenomenon of the Human Mind (1829).;;;;;;;;;;;;;
post_napoleonic_army_doctrine;后拿破仑时期军事思想;;;;;;;;;;;;;
post_napoleonic_army_doctrine_desc;法国大革命和拿破仑时期都奉行一种革新的军事思想。该时期的影响即使在美国内战和一战早期也存在。便宜和小型的武器和草率训练的士兵让军队的规模和空前膨胀，这导致军队需要被划分为以师为单位，之后更被分成以军为单位。炮兵师也是在这一时期出现。;;;;;;;;;;;;;
neokantian_idealism;新康德唯心主义;;;;;;;;;;;;;
neokantian_idealism_desc;康德认识论的特点在于他提出了从时空感性直观到纯粹知性概念（范畴）的认识形式。他认为人类先验地具有这一套认识形式，才能把感觉材料组成知识。如果设有这套主体的认识形式，我们就不可能得到普遍必然的科学知识，也就是说不可能认识客观世界。;;;;;;;;;;;;;
proto_existentialism_desc;This was not a philosophical movement but disparate philosophers analysing and discussing concepts and conceptions which they considered flawed. Things as varied as the general notion about things as Intuition, Time, Intellect, and Being had to be reformulated not to create pseudo-problems.;;;;;;;;;;;;;
combat_medicine_desc;At this point the armies and navies of the world had acknowledged the need not only for a medical corps within their organizations, but also that the illnesses and wounds delivered in combat and frontline duty needed specialization.;;;;;;;;;;;;;
social_conscience_desc;Social Conscience is motivation deriving logically from ethical or moral principles that govern a society as well as individuals thoughts and actions.;;;;;;;;;;;;;
i_analytic_philosophy_desc;This was originally a disparate movement of philosophers who wanted to free logics and the foundation of mathematics from elder defunct and inconsistent theses. It later developed into trying to bridge language and formal logics and thus create an objective realist ground for reality. This took a sidepath into logical positivism. However the objectivist position crashed as one of its early proteg閟 Ludwig Wittgenstein took a 90 degree turn and tried to refute his own earlier position.;;;;;;;;;;;;;
logical_positivism_desc;Logical positivists denied the soundness of metaphysics and traditional philosophy. They asserted that many philosophical problems are indeed meaningless, primarily concerned with the logical analysis of scientific knowledge. They failed to secure what they themselves considered to be the sound foundation of knowledge and today are most often considered a dead-end.;;;;;;;;;;;;;
dogma_of_mass_action_desc;At certain point a line of thought that developed from general radicalism was the dogma of mass action, which meant that only by means of mass actions such as rallying and strikes could the consciousness level for the worker be raised adequately for him to understand what was most beneficial for himself.;;;;;;;;;;;;;
bessemer_steel;贝塞麦转炉炼钢法;;;;;;;;;;;;;
bessemer_steel_desc;Named after Sir Henry Bessemer of England, the process evolved from the contributions of many investigators before it could be used on a broad commercial basis. It was apparently conceived independently and almost concurrently by Bessemer and by William Kelly of the United States. As early as 1847, Kelly, a businessman-scientist of Pittsburgh, Pa., began experiments aimed at developing a revolutionary means of removing impurities from pig iron by an air blast. Kelly theorized that not only would the air, injected into the molten iron, supply oxygen to react with the impurities, converting them into oxides separable as slag, but that the heat evolved in these reactions would increase the temperature of the mass, keeping it from solidifying during the operation. After several failures, he succeeded in proving his theory and rapidly producing steel ingots.;;;;;;;;;;;;;
thomas_steel;碱性转炉炼钢法;;;;;;;;;;;;;
thomas_steel_desc;Many iron ores contain some phosphorous and so does the pig iron smelted from them. Blowing the oxygen contained in air through liquid pig iron in the Bessemer process obviously did not remove the phosphorous. It neither bubbled out as a component of a gas like the carbon in carbon monoxide (CO), nor did it it become part of slag or dross swimming on top. But you must catch the phosphorous in some slag in order to remove it. The question to consider is simple: Why was phosphorous not incorporated as some kind of oxide in the slag formed during the blowing? One Sidney Gilchrist Thomas, a civil servant with an interest in iron making and metallurgy, took the bit in his teeth and set out to solve the biggest problem of the iron and steel industry. He enlisted the help of his cousin Percy Carlyle Gilchrist, a chemist who worked for an iron making company. They worked hard but had no luck for several years. Eventually the iron mill Gilchrist worked for gave them some support and they started experiments with a small lab-type converter, trying all kinds of materials they selected on "theoretical" grounds. They finally succeeded, announcing the Gilchrist - Thomas process during a meeting of the Iron and Steel Institute in London, March 1878.;;;;;;;;;;;;;
martin_steel;平炉炼钢法;;;;;;;;;;;;;
martin_steel_desc;Sir Carl Wilhelm Siemens developed the Siemens regenerative furnace in the 1850s, and claimed in 1857 to be recovering enough heat to save 70?80% of the fuel. This furnace operates at a high temperature by using regenerative preheating of fuel and air for combustion. In regenerative preheating, the exhaust gases from the furnace are pumped into a chamber containing bricks, where heat is transferred from the gases to the bricks. The flow of the furnace is then reversed so that fuel and air pass through the chamber and are heated by the bricks. Through this method, an open-hearth furnace can reach temperatures high enough to melt steel, but Siemens did not initially use it for that. In 1865, the French engineer Pierre-蒻ile Martin took out a license from Siemens and first applied his regenerative furnace for making steel. The most appealing characteristic of the Siemens regenerative furnace is the rapid production of large quantities of basic steel, used for example to construct high-rise buildings. The usual size of furnaces is 50 to 100 tons, but for some special processes they may have a capacity of 250 or even 500 tons.;;;;;;;;;;;;;
refrigerator_technology_desc;The introduction of refrigerator technology revolutionized not only the food industry but also the distillery industry which had always been limited by temperature.;;;;;;;;;;;;;
bankruptcy_proceedings_desc;By instituting procedures regulating the process of bankruptcy, bankruptcy proceedings not only became simpler and faster: creditor uncertainty was also decreased.;;;;;;;;;;;;;
army_wargames_desc;The wargames were staff training. It meant playing out a situation, a fictive war of conflict, and setting two staffs against each other and training them in order writing, communications and planning. At some degree it also trained their tactical and operational skill.;;;;;;;;;;;;;
wargames_desc;The wargames were staff training. It meant playing out a situation, a fictive war of conflict, and setting two staffs against each other and training them in order writing, communications and planning. At some degree it also trained their tactical and operational skill.;;;;;;;;;;;;;
speedy_maneuvering_tactic_desc;This tactic involves using speed to manoeuvre one抯 vessel into a firing position at an opportune time and trajectory to render the enemy抯 guns inaccurate, or even incapable of targeting the approaching vessel. Due to the speeds associated with this tactic, it also led to the need to train officers in how to make a breaking manoeuvre at an optimal time to avoid collisions, and to bring one抯 own guns to bear.;;;;;;;;;;;;;
big_sail_ships;风帆主力舰;;;;;;;;;;;;;
big_sail_ships_desc;Ocean-worthy ships, with multiple decks and sails, with lines and lines of cannon.;;;;;;;;;;;;;
sail_ships_transport;远洋运输;;;;;;;;;;;;;
sail_ships_transport_desc;Traditional small ships used transport troops can't withstand long distance travel. Truly ocean-worth vessels are an undertaking of its own.;;;;;;;;;;;;;
big_sail_support;远洋支援舰;;;;;;;;;;;;;
big_sail_support_desc;Frigates capable of limited engagement away from the coast.;;;;;;;;;;;;;
fish_trawlers;拖网渔船;;;;;;;;;;;;;
fish_trawlers_desc;The modern fishing trawler was developed in the 19th century, at the English fishing port of Brixham. By the early 19th century, the fishermen at Brixham needed to expand their fishing area further than ever before due to the ongoing depletion of stocks that was occurring in the overfished waters of South Devon. The Brixham trawler that evolved there was of a sleek build and had a tall gaff rig, which gave the vessel sufficient speed to make long distance trips out to the fishing grounds in the ocean. They were also sufficiently robust to be able to tow large trawls in deep water. The great trawling fleet that built up at Brixham, earned the village the title of 'Mother of Deep-Sea Fisheries'.;;;;;;;;;;;;;
metallurgy;冶金和采矿;;;;;;;;;;;;;
pattinson_process;帕廷森粗铅结晶除银法;;;;;;;;;;;;;
pattinson_process_desc;Pattinson's Process is a method for removing silver from lead. The process is dependent on the fact that lead which has least silver in it solidifies first on liquefaction. In practice several crystallisations were required and the silver content of the silver-rich melt could not be raised above 2%.;;;;;;;;;;;;;
parkes_process;帕克斯炼铅法;;;;;;;;;;;;;
parkes_process_desc;The Parkes process is a pyrometallurgical process for removing silver from lead during the production of bullion. The process takes advantage of two liquid-state properties of zinc. The first is that zinc is immiscible with lead, and the other is that silver is 3000 times more soluble in zinc than it is in lead. When zinc is added to liquid lead that contains silver as a contaminant, the silver preferentially migrates into the zinc. Because the zinc is immiscible in the lead it remains in a separate layer and is easily removed. The zinc-silver solution is then heated until the zinc vaporizes, leaving nearly pure silver. If gold is present in the liquid lead, it can also be removed and isolated by the same process.;;;;;;;;;;;;;
square_set_timbering;方框支架开采法;;;;;;;;;;;;;
