Key;English;;;;;;;;;;;;;
organize_central_asia_title;中亚霸权;;;;;;;;;;;;;
organize_central_asia_desc;我们对大草原的统治现在是无可争议的：现在是我们组织该地区以更好地满足我们需求的时候了。;;;;;;;;;;;;;
conquest_of_red_water_title;征服海岸;;;;;;;;;;;;;
conquest_of_red_water_desc;我们对土库曼尼亚地区的控制现已足够完善，我们可以通过征服被称为红水的克孜勒苏地区前往里海，赶在其他人切断我们之前。;;;;;;;;;;;;;
claim_artois_title;宣称阿图瓦;;;;;;;;;;;;;
claim_artois_desc;阿图瓦伯国一直是低地国家的一部分。只是在哈布斯堡的外国统治时代，才被法国国王抢走。因此，我们有责任将这些土地收回到我们光荣的国家，让他们的人民工作并从他们的土地中获利！;;;;;;;;;;;;;
rename_artois_NET_title;阿图瓦是我们的！;;;;;;;;;;;;;
rename_artois_NET_desc;阿图瓦地区终于回到了$COUNTRY_ADJ$手中！该地区已成为我们合法历史领域的一部分，这应该反映在世界地图上。;;;;;;;;;;;;;
rename_artois_FRA_title;阿图瓦是我们的！;;;;;;;;;;;;;
rename_artois_FRA_desc;阿图瓦地区终于回到了$COUNTRY_ADJ$手中！该地区已成为我们合法历史领域的一部分，这应该反映在世界地图上。;;;;;;;;;;;;;
build_neuschwanstein_title;新天鹅堡;;;;;;;;;;;;;
build_neuschwanstein_desc;新天鹅堡是一座十九世纪的罗马复兴式宫殿，位于旧天鹅堡上方的崎岖山丘上。 这座宫殿是由巴伐利亚的路德维希二世，“天鹅之王”，的个人财产支付的，作为隐居处和向理查德·瓦格纳致敬。这座宫殿的目的是作为隐居的君主的个人避难所。据说，在他位于旧天鹅堡的卧室里，路德维希在山脊上布置了一架望远镜，以便在新天鹅堡建造时留意它。;;;;;;;;;;;;;
EVTNAME110082;向$COUNTRY$走私茶叶;;;;;;;;;;;;;
EVTDESC110082;1882年通过印度茶种在$COUNTRY$培育茶叶的尝试失败之后，生于拉希詹、人称Kashef Al Saltaneh的穆罕默德·米尔扎进口了一批印度茶并尝试在拉希詹培育它们。Kashef作为首任德黑兰市长和伊朗驻英属印度大使，明白英国人不会允许他了解到茶叶种植的奥秘所在，因为那是他们在印度的主要收入来源。因此在法国人的暗中支持下，他假扮为法国劳工进入茶叶种植园工作，学习如何培育茶叶。他计划最终将这些样品送回$COUNTRY$栽培。 仅仅因为外交豁免阻止英国人搜查他的秘密样本，他的计划才得以成功。Kashef将3000多株样本从北印度的坎格拉带回伊朗并开始在里海南部的吉兰地区栽种。那里的气候非常适合茶叶种植，因此茶产业迅速在吉兰与马赞德兰地区发展。;;;;;;;;;;;;;
EVT110082OPTA;一个很棒的举措！;;;;;;;;;;;;;
EVT110082OPTB;不了，谢谢。;;;;;;;;;;;;;
EVTNAME110083;欧洲之旅;;;;;;;;;;;;;
EVTDESC110083;众多所谓的“不文明”国家的君主已经决定前往欧洲以支持西化政策。从波斯的纳赛尔丁·卡扎尔沙阿到暹罗的朱拉隆功，以及印度的众多王子，这些经验证明在世界各地的启蒙统治者中取得了成功。虽然这可以帮助我们的国家进入现代化，但它肯定会激怒我们更传统的精英......;;;;;;;;;;;;;
EVT110083OPTA;我们将学到很多。;;;;;;;;;;;;;
EVT110083OPTB;国王的位置在他的国家。;;;;;;;;;;;;;
EVTNAME110084;$YEAR$年埃尔祖鲁姆条约;;;;;;;;;;;;;
EVTDESC110084;在库尔德地区恢复秩序后，奥斯曼帝国和卡扎尔波斯之间的紧张局势再次升级。 边界冲突现在是一种常见现象，在双方宫廷都引发了沙文主义情绪。为了保护他们在该地区的利益，联合王国和俄罗斯进行了干预，以寻求外交解决困扰该地区的问题。拟议条约包括九条处理各种问题的条款，从领土妥协到朝圣者地位，永远建立西方国家概念和该地区的边界等等。;;;;;;;;;;;;;
EVT110084OPTA;这看起来很公平。;;;;;;;;;;;;;
EVT110084OPTB;我们会用自己的方式解决这一问题！;;;;;;;;;;;;;
EVTNAME110085;权力的崛起;;;;;;;;;;;;;
EVTDESC110085;埃米尔·卡比尔在我国获得了越来越多的权力。他现在身兼首席部长和陆军参谋长的职位：这种情况可能很危险，特别是当沙阿仍然年轻时。他的受欢迎程度仍然很低，无论是在法庭上还是在国外，都有人鄙视他。 有些人在我们耳边低语说，这可能是我们在太晚之前阻止他的唯一机会......;;;;;;;;;;;;;
EVT110085OPTA;沙阿要他死。;;;;;;;;;;;;;
EVT110085OPTB;留他一命。驱逐他即可。;;;;;;;;;;;;;
