Key;English;;;;;;;;;;;;;
rhodesia_renaming_act_title;The Rhodesia Renaming Act;;;;;;;;;;;;;
rhodesia_renaming_act_desc;Now that Mashonaland is firmly in our hands, it would only be appropriate we rename the region something more civilized.;;;;;;;;;;;;;
support_january_uprising_title;Ö§³ÖÒ»ÔÂÆğÒå;;;;;;;;;;;;;
support_january_uprising_desc;Ğû²¼½äÑÏºó£¬±»Ö¸¶¨Õ÷±øµÄÈËÃØÃÜÌÓÀë»ªÉ³£¨1863Äê1ÔÂ14ÈÕÖÁ25ÈÕ£©£¬ÔÚ¸½½üµÄÁÖµØÑ°Çó±Ó»¤£¬²¢ÓÚ1ÔÂ22ÈÕ·¢²¼ÁËÒ»·İºôÓõÈ«¹úÆğÒåµÄĞûÑÔ¡£ËäÈ»ÅÑÂÒ·Ö×ÓÈËÊıÖÚ¶à£¬Éè±¸¼òÂª£¬Ö»ÓĞÉÙÊı¼¸´Î³É¹¦£¬µ«·´ÅÑ·Ö×ÓµÃµ½ÁË³ÇÊĞ¹¤½³£¬¹¤ÈË£¬Ê¿ÉğºÍ¹Ù·½½×²ãµÄÖ§³Ö£¬²¢´Ì¼¤ÁËÅ©Ãñ¶ÔÅ©´åµØÇø´óµØÖ÷µÄ·´¿¹¡£ÎÒÃÇ¿ÉÒÔÖ§³ÖÕâÆğÕë¶Ô¶íÂŞË¹ÈËµÄÆğÒå¡£;;;;;;;;;;;;;
treaty_of_tartu_EST_title;Ëş¶ûÍ¼ºÍÔ¼;;;;;;;;;;;;;
treaty_of_tartu_EST_desc;Ëş¶ûÍ¼ÌõÔ¼ÊÇ°®É³ÄáÑÇÓëËÕ¶íÇ©¶©µÄºÍÆ½ÌõÔ¼£¬ÓÚ1920Äê2ÔÂ2ÈÕÇ©Êğ£¬½áÊøÁË°®É³ÄáÑÇ¶ÀÁ¢Õ½Õù¡£¸ÃÌõÔ¼µÄÌõ¿î¹æ¶¨£¬¡°¶íÂŞË¹ºÁÎŞ±£ÁôµØ³ĞÈÏ¡±·¨¶¨µÄ°®É³ÄáÑÇ¹²ºÍ¹úµÄ¶ÀÁ¢£¬²¢ÓÀ¾Ã·ÅÆú¶Ô°®É³ÄáÑÇÁìÍÁµÄËùÓĞÈ¨Àû¡£¸ÃÌõÔ¼µÄÅú×¼ÓÚ1920Äê3ÔÂ30ÈÕÔÚÄªË¹¿Æ½»»»¡£ËüÓÚ1922Äê7ÔÂ12ÈÕÔÚ¹ú¼ÊÁªÃËÌõÔ¼ÏµÁĞÖĞµÇ¼Ç¡£;;;;;;;;;;;;;
establish_the_sovnarkomSOV_title;½¨Á¢ÈËÃñÎ¯Ô±»á;;;;;;;;;;;;;
establish_the_sovnarkomSOV_desc;¸ù¾İ1918ÄêËÕ¶íÏÜ·¨¹æ¶¨µÄÖ°ÄÜ£¬ÈËÃñÎ¯Ô±»á£¬=ÊÇËÕÁª¶íÂŞË¹×î¸ßÕş¸®È¨Á¦»ú¹¹¡£ÈËÃñÎ¯Ô±»á£¨ÕıÊ½£©¶ÔËÕÎ¬°£´ó»á¸ºÔğ£¬²¢ÇÒµ±ËÕÎ¬°£²»ÔÚ¾ÙĞĞ»áÒéÊ±£¬ÓĞÈ¨·¢²¼³äÂú·¨ÂÉĞ§Á¦µÄ·¨Áî¡£;;;;;;;;;;;;;
russian_vladivostokSOV_title;¶«·½µÄÍ³ÖÎÕß;;;;;;;;;;;;;
