Key;English;;;;;;;;;;;;;
EVTNAME96000;战争降临;;;;;;;;;;;;;
EVTDESC96000;$COUNTRY$ is in a state of total war with one of the Great Powers of the world. In a modern age where warfare has the capability of killing millions, the very future of our nation could be at stake. The call has gone out to the $COUNTRY_ADJ$ people: put aside your petty differences," your day-to-day lives and your personal ambitions. $COUNTRY$ must pull together in this, our hour of need!;;;;;;;;;;;;;
EVTOPTA96000;我们会取得胜利！;;;;;;;;;;;;;
EVTNAME96010;The Treaty of $CAPITAL$;;;;;;;;;;;;;
EVTDESC96010;我们战败了，胜利者像秃鹰一般蜂拥而至。我们被迫到谈判桌上接受丧权辱国的条约，帝国解体，割地让人，且不允许任何海外领地的存在。在$COUNTRY$未来的岁月里这一刻将始终挥之不去。;;;;;;;;;;;;;
EVTNAME96004;战争的要求;;;;;;;;;;;;;
EVTDESC96004;The constant state of war $COUNTRY$ is under has taken its toll on our people. Shortages of basic goods and the failure to deliver swift victory have worn down the enthusiasm with which the $COUNTRY_ADJ$ people initially greeted the war effort. If things don't turn around soon, we could face growing weariness and unrest within our own borders.;;;;;;;;;;;;;
EVTOPTA96004;我们会赢得这场战争！;;;;;;;;;;;;;
EVTNAME96005;这一切都是徒劳吗？;;;;;;;;;;;;;
EVTDESC96005;在$CAPITAL$，越来越多的示威游行表明了$COUNTRY_ADJ$人民的普遍态度：尽快让我们摆脱战争。失去了太多，牺牲了太多，这都是为了什么？人民希望回归到日常生活，没有萦绕在脑海中挥之不去的战事。;;;;;;;;;;;;;
EVTOPTA96005;不要失去希望！;;;;;;;;;;;;;
EVTNAME96006;全面崩溃;;;;;;;;;;;;;
EVTDESC96006;说得轻一点，战争时期的努力进展并不顺利。顾问说$COUNTRY$应当求和，不惜一切代价在更糟糕的情况发生之前结束这场战争。人民正在反抗的边缘。我们必须行动！;;;;;;;;;;;;;
EVTOPTA96006;灾难！;;;;;;;;;;;;;
EVTOPTA96010;我们欢迎和平;;;;;;;;;;;;;
EVTNAME96013;The Breakup of $FROMCOUNTRY$;;;;;;;;;;;;;
EVTDESC96013;$FROMCOUNTRY$ has been forced to concede defeat in its war, and we have been invited to the negotiating table to discuss the potential breakup of their empire. This could potentially mean we see $COUNTRY_ADJ$ lands returned to us, though if we forego our claims it could mean salvaging a relationship with $FROMCOUNTRY$.;;;;;;;;;;;;;
EVTOPTA96013;我们将出席会谈;;;;;;;;;;;;;
EVTOPTB96013;我们不会出席;;;;;;;;;;;;;
EVTNAME96014;The Breakup of $FROMCOUNTRY$;;;;;;;;;;;;;
EVTDESC96014;$FROMCOUNTRY$ has been forced to concede defeat in its war, and now treaty talks have begun to discuss the breakup of their empire. As an enemy of $FROMCOUNTRY$, our place at the table is assured. At the very least, any $COUNTRY_ADJ$ lands currently in $FROMCOUNTRY_ADJ$ possession should be returned.;;;;;;;;;;;;;
EVTOPTA96014;我们只是希望要回我们的土地;;;;;;;;;;;;;
EVTNAME96015;$COUNTRY_ADJ$ Freedom;;;;;;;;;;;;;
EVTDESC96015;The defeat of $FROMCOUNTRY$ in their war has forced them to the negotiating table, and one of the terms for the breakup of their empire is our release from their direct rule. This would mean casting out $FROMCOUNTRY_ADJ$ officials and potentially turning them into an enemy. We could maintain our close ties with $FROMCOUNTRY$ even with our freedom, though this would mean passing up a chance for freedom and goodwill from $FROMCOUNTRY$'s enemies.;;;;;;;;;;;;;
EVTOPTA96015;$COUNTRY$ shall be free;;;;;;;;;;;;;
EVTOPTB96015;$FROMCOUNTRY$ is our ally;;;;;;;;;;;;;
EVTNAME96016;The $FROMCOUNTRY_ADJ$ Colonies;;;;;;;;;;;;;
EVTDESC96016;谈判桌上讨论的话题之一是如何处置$FROMCOUNTRY$的殖民地所有权。他们不该被允许保有这些土地，但是决定如何处理它们并不简单。目前，已经达成协议确定了某些领土的归属，剩余所有领土将要在明年进行协商。;;;;;;;;;;;;;
EVTOPTA96016;我们将尽可能的拿走;;;;;;;;;;;;;
EVTOPTB96016;我们唯一的兴趣就是制约$FROMCOUNTRY_ADJ$国力;;;;;;;;;;;;;
EVTOPTC96016;我们对他们的殖民地没兴趣;;;;;;;;;;;;;
EVTDESC96017;谈判桌上讨论的话题之一是如何处置$FROMCOUNTRY$的殖民地所有权。我们不是大国，就算我们提出要一些殖民地，最终很可能也会无果而终…但是如果我们不做，我们最终肯定是无果而终。即便如此，有所尝试可能会被视为挑衅。;;;;;;;;;;;;;
EVTNAME96020;战争已经结束了;;;;;;;;;;;;;
EVTDESC96020;随着战争的结束，$COUNTRY_ADJ$人民走上$CAPITAL$街头欢庆。战争代价惨重，但今天$COUNTRY$纯粹为和平而快乐。;;;;;;;;;;;;;
EVTOPTA96020;Long live $COUNTRY$!;;;;;;;;;;;;;
EVTDESC96022;$FROMCOUNTRY$ has been created from the ether, but the powers-that-be have determined at least some of their lands rightfully belong to $COUNTRY$ and should be returned to us. The $COUNTRY_ADJ$ people have rejoiced at this news.;;;;;;;;;;;;;
EVTNAME96025;我敌人的敌人;;;;;;;;;;;;;
EVTDESC96025;目前我们处于全面战争状态，一种观点产生了，$COUNTRY$应与$FROMCOUNTRY$的敌国接洽，看是否有国家愿意与我们共同对抗他们。这可能意味着与可能从未与我们并肩作战的国家组成非神圣同盟，但老话说的好：“敌人的敌人就是朋友”如果我们要赢得这场对$FROMCOUNTRY$的战争，也许我们不得不对此认真考虑。;;;;;;;;;;;;;
EVTOPTA96025;干吧;;;;;;;;;;;;;
EVTOPTB96025;我们不需要更多的盟友;;;;;;;;;;;;;
EVTNAME96030;战争的阴影;;;;;;;;;;;;;
EVTDESC96030;一位来自$FROMCOUNTRY$的外交官带着一个请求与我们接洽：与他们结成同盟，与他们的敌人开战…那个敌人显然不是我们的朋友。虽然同盟并不强迫我们，但真正的问题在于$COUNTRY$到底是不是希望发动战争。如果我们与$FROMCOUNTRY$并肩作战，我们有机会分一杯羹，也有可能与他们一同战败。选择权在我们手上。;;;;;;;;;;;;;
EVTOPTA96030;我们将和$FROMCOUNTRY$结盟;;;;;;;;;;;;;
EVTOPTB96030;我们拒绝;;;;;;;;;;;;;
EVTNAME96031;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;;
EVTDESC96031;我们从$FROMCOUNTRY$那里收到消息，他们同意与我们结盟。他们是否真能做到同盟并与我们并肩作战还有待观察。;;;;;;;;;;;;;
EVTOPTA96031;很好;;;;;;;;;;;;;
EVTNAME96065;太可恶了！;;;;;;;;;;;;;
EVTDESC96065;一件与我们一个敌国发生的外交事件激怒了$COUNTRY_ADJ$公民。几周前，一位被派到$CAPITAL$的公使被指盗取国家机密。结果事实更为严峻，调查揭露了动摇$COUNTRY$社会安定的阴谋，并使之无力抵挡入侵。这件事已经被曝光，首都人民高呼宣战。;;;;;;;;;;;;;
EVTOPTA96065;我们必须不惜一切代价捍卫$COUNTRY_ADJ$利益;;;;;;;;;;;;;
EVTOPTB96065;我们无法承受这样的战争;;;;;;;;;;;;;
EVTNAME96066;暗杀！;;;;;;;;;;;;;
EVTDESC96066;一位优秀公民被政见不同者暗杀一事经过彻查，证实是受到敌对势力的煽动挑唆。这是一连串用于动摇$COUNTRY$社会安定的事件中最近的一件。调查结果已被曝光，大量人群走上$CAPITAL$街头，高呼宣战。;;;;;;;;;;;;;
EVTNAME96070;The $COUNTRY_ADJ$ Colonies;;;;;;;;;;;;;
EVTDESC96070;根据和平条约，我们必须放弃殖民地和海外领。目前就“分派”给哪国的谈判正在进行。我们所受的羞辱似乎还未完结。;;;;;;;;;;;;;
EVTOPTA96070;瓜分我们帝国的时刻;;;;;;;;;;;;;
EVTNAME96071;Transfer of the $FROMCOUNTRY_ADJ$ Colonies;;;;;;;;;;;;;
EVTDESC96071;目前谈判仍在进行，探讨哪国将获得$FROMCOUNTRY_ADJ$剩余殖民地和海外领的控制权。;;;;;;;;;;;;;
EVTOPTA96071;我们将接受殖民地的控制权。;;;;;;;;;;;;;
EVTOPTB96071;我们不希望更多的殖民地。;;;;;;;;;;;;;
EVTOPTC96071;We will skip the current colony.;;;;;;;;;;;;;
EVTDESC96081;一块$FROMCOUNTRY_ADJ$孤立领土被分给了我们。我们应当考虑是否希望进行管理，因为就目前的边境形势来看掌控这片领土也许会困难重重。但是话说回来，我们真的希望$FROMCOUNTRY$留下它？;;;;;;;;;;;;;
EVTNAME96085;The New $COUNTRY_ADJ$ Government;;;;;;;;;;;;;
