Key;English;;;;;;;;;;;;;
EVTDESC20002_NEWS_LONG;ÊıÇ§ÈËÓ¿ÈëÁË$CAPITAL$µÄÖĞÑë¹ã³¡£¬ÒªÇó½áÊø$COUNTRY_ADJ$¶À²ÃÍ³ÖÎ£¬ÖÆ¶©ÃñÖ÷ÏÜ·¨£¬ÉèÁ¢ÆÕÑ¡ÖÆ¶È¡£$COUNTRY_ADJ$¾ü¶ÓÁ¢ÓÚÈËÈºÅÔ±ß£¬µÈ´ı¹¥»÷ÃüÁîµÄÏÂ´ï£¬È»¶ø$COUNTRY$ÖĞÒ²ÓĞÈËÔÚ¿¼ÂÇ½ÓÊÜÃñÖÚÇëÇóÊÇ·ñ»á¸üºÃÒ»Ğ©;;;;;;;;;;;;;
EVTDESC20002_NEWS_MEDIUM;ÊıÇ§ÈËÓ¿ÈëÁË$CAPITAL$µÄÖĞÑë¹ã³¡£¬ÒªÇó½áÊø$COUNTRY_ADJ$¶À²ÃÍ³ÖÎ£¬ÖÆ¶©ÃñÖ÷ÏÜ·¨£¬ÉèÁ¢ÆÕÑ¡ÖÆ¶È;;;;;;;;;;;;;
EVTDESC20002_NEWS_SHORT;ÊıÇ§ÈËÓ¿ÈëÁË$CAPITAL$µÄÖĞÑë¹ã³¡£¬ÒªÇó½áÊø$COUNTRY_ADJ$¶À²ÃÍ³ÖÎ£¬ÖÆ¶©ÃñÖ÷ÏÜ·¨£¬ÉèÁ¢ÆÕÑ¡ÖÆ¶È;;;;;;;;;;;;;
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$ Dictator Assassinated!;;;;;;;;;;;;;
EVTDESC20006_NEWS_LONG;½ñÌì¶ÔÓÚ$COUNTRY$ÊÇ¾Ù¹ú±¯ÉËµÄÒ»Ìì£¬$COUNTRY_ADJ$×ÜÍ³ÔÚ$CAPITAL$ÔâÈËÇ¹»÷Í·²¿²»ĞÒÉíÍö£¬³ÉÎªÁË¼¤½ø×ÔÓÉÖ÷ÒåÕßÂñ·üÒõÄ±µÄÎşÉüÆ·¡£Õû¸ö¹ú¼ÒÏİÈë°§Í´ÖĞ£¬´«ÑÔËµÖ±µ½ÏÖÔÚ£¬¸÷µ³ÅÉÒ²»¹ÔÚÌÖÂÛÊÇÑ°ÕÒÒ»¸öĞÂµÄ¼ÌÎ»Õß»¹ÊÇ¸É´àÍÆ·­$COUNTRY_ADJ$¶À²ÃÍ³ÖÎ;;;;;;;;;;;;;
EVTDESC20006_NEWS_MEDIUM;½ñÌì¶ÔÓÚ$COUNTRY$ÊÇ¾Ù¹ú±¯ÉËµÄÒ»Ìì£¬$COUNTRY_ADJ$×ÜÍ³ÔÚ$CAPITAL$ÔâÈËÇ¹»÷Í·²¿²»ĞÒÉíÍö£¬³ÉÎªÁË×ÔÓÉÖ÷ÒåÕßÂñ·üÒõÄ±µÄÎşÉüÆ·¡£Õû¸ö¹ú¼ÒÏİÈë°§Í´ÖĞ£¬Ö±µ½ÏÖÔÚ£¬¸÷µ³ÅÉÈÔÔÚÌÖÂÛÑ°ÕÒÒ»¸öĞÂµÄ¼ÌÎ»Õß;;;;;;;;;;;;;
EVTDESC20006_NEWS_SHORT;The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. Even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;;
EVTNAME97205_NEWS_TITLE;»ù¶ûÔËºÓÊÜµ½$COUNTRY_ADJ$¿ØÖÆ;;;;;;;;;;;;;
EVTDESC97205_NEWS_LONG;The recent military and administrative takeover of the province of Kiel by $COUNTRY$ has caused hefty discussions among the international trading companies, as this small North German territory homes the 'Kiel Canal'. Since its opening the canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;;
EVTDESC97205_NEWS_MEDIUM;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;;
EVTDESC97205_NEWS_SHORT;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route.;;;;;;;;;;;;;
EVTNAME97210_NEWS_TITLE;$COUNTRY_ADJ$ Plans For 'Kiel Canal' Revealed;;;;;;;;;;;;;
EVTDESC97210_NEWS_LONG;À´×Ô»ù¶ûÊ¡µÄµ±µØ´¬Ö÷ºÍÉÌÈËÏò$COUNTRY_ADJ$Õş¸®Ìá³ö´òÔì¡°»ù¶ûÔËºÓ¡±µÄ¸ÅÄî¡ª¡ªºá¿çĞÁ²¼Àï°ëµºµÄË®Â·£¬ÓĞĞ§Ëõ¶ÌÁË±±²¿ºÍ²¨ÂŞµÄº£Ö®¼äµÄ½»Í¨¾àÀë¡£¾¡¹ÜÍê³ÉÕâÒ»¹¤³Ì¿ÉÄÜĞèÒª»¨·ÑÒ»Ğ©Ê±¼ä£¬µ«ÕâÈÔÈ»»áÊÇ$COUNTRY$¹¤ÉÌÒµ·¢Õ¹Ê·ÉÏµÄÓÖÒ»¸ö×ªÕÛµã¡£¾¡¹ÜÕş¸®ºÍÉÌÈËÃÇ¶¼Ã»ÓĞÈ·ÈÏ¾ßÌåµÄÆğÊ¼ÈÕÆÚ¡£\n;;;;;;;;;;;;;
EVTDESC97210_NEWS_MEDIUM;À´×Ô»ù¶ûÊ¡µÄµ±µØ´¬Ö÷ºÍÉÌÈËÏò$COUNTRY_ADJ$Õş¸®Ìá³ö´òÔì¡°»ù¶ûÔËºÓ¡±µÄ¸ÅÄî¡ª¡ªºá¿çĞÁ²¼Àï°ëµºµÄË®Â·£¬ÓĞĞ§Ëõ¶ÌÁË±±²¿ºÍ²¨ÂŞµÄº£Ö®¼äµÄ½»Í¨¾àÀë¡£;;;;;;;;;;;;;
EVTDESC97210_NEWS_SHORT;À´×Ô»ù¶ûÊ¡µÄµ±µØ´¬Ö÷ºÍÉÌÈËÏò$COUNTRY_ADJ$Õş¸®Ìá³ö´òÔì¡°»ù¶ûÔËºÓ¡±µÄ¸ÅÄî¡ª¡ª¿ÉÓĞĞ§Ëõ¶Ì±±²¿ºÍ²¨ÂŞµÄº£Ö®¼äµÄ½»Í¨¾àÀë¡£;;;;;;;;;;;;;
EVTNAME97225_NEWS_TITLE;$COUNTRY$ Completes Kiel Canal;;;;;;;;;;;;;
EVTDESC97225_NEWS_LONG;×Ô16ÊÀ¼ÍÒÔÀ´£¬±ãÓĞÍÚ³öÒ»Ìõºá¿çĞÁ²¼Àï°ëµºµÄº½µÀµÄ¼Æ»®£¬ÒÔËõ¶Ì±±·½Ö÷Òª¸Û¿ÚºÍ²¨ÂŞµÄº£Ö®¼äµÄ¾àÀë¡£Ëæ×Å¡°»ù¶ûÔËºÓ¡±µÄ¿¢¹¤ºÍºº±¤¡ª¡ªºº±¤ÖÁÃÀÖŞµÄ»õÂÖ£¬ÅÁÀ­ÌáÑÇºÅ³ÉÎªÁËµÚÒ»ËÒ¾­¹ı´ËÔËºÓµÄ´¬¡£ÔËºÓµÄ½¨³É¸ø$COUNTRY$µÄ¹ú¼ÊµØÎ»ÔöÉ«²»ÉÙ¡£$COUNTRY_ADJ$ÉÌ»áÉĞÎ´¶Ô¿ÉÄÜ´øÀ´µÄÄêÊÕÈë±íÊ¾ÈÎºÎÒâ¼û£¬µ«²»¾ÃµÄ½«À´Ó¦¸Ã»áÓĞ´Ë¶¯×÷¡£;;;;;;;;;;;;;
EVTDESC97225_NEWS_MEDIUM;¡°»ù¶ûÔËºÓ¡±Ëõ¶ÌÁË±±²¿ºÍ²¨ÂŞµÄº£Ö®¼äµÄË®Â½½»Í¨¾àÀë£¬ËüµÄ¿¢¹¤´ó´óµÄÌáÉıÁË$COUNTRY$µÄ¹ú¼ÊµØÎ»¡£¹ú¼ÒÉÌ»áÉĞÎ´¶ÔÄ¿Ç°µÄÄêÊÕÈë½øĞĞÈÎºÎÆÀÂÛ¡£;;;;;;;;;;;;;
EVTDESC97225_NEWS_SHORT;¡°»ù¶ûÔËºÓ¡±Ëõ¶ÌÁË±±²¿ºÍ²¨ÂŞµÄº£Ö®¼äµÄË®Â½½»Í¨¾àÀë£¬ËüµÄ¿¢¹¤´ó´óµÄÌáÉıÁË$COUNTRY$µÄ¹ú¼ÊµØÎ»¡£;;;;;;;;;;;;;
EVTNAME97255_NEWS_TITLE;ËÕÒÁÊ¿ÔËºÓÊÜµ½$COUNTRY_ADJ$¿ØÖÆ;;;;;;;;;;;;;
EVTDESC97255_NEWS_LONG;×î½ü$COUNTRY$½Ó¹ÜËÕÒÁÊ¿ÖÜÎ§ÇøÓòµÄ¾üÈ¨ºÍ¹ÜÀíÈ¨£¬¼øÓÚ¸ÃÇøÓòÒÀÍĞÓÚ¡°ËÕÒÁÊ¿ÔËºÓ¡±£¬´Ë¾ÙÔÚÍâÃ³¹«Ë¾Ö®¼äÔì³ÉÁËÒ»³¡´ó»ìÂÒ¡£¸ÃÔËºÓÊÇÊÀ½çÉÏº£Â½½»Í¨ÖĞ×îÖØÒªµÄÒ»Ìõº½Ïß£¬ËüµÄ¿ª·Å£¬´ó·ùµØËõ¶ÌÁËÅ·ÖŞºÍÑÇÖŞ¸Û¿Ú¼äµÄ½»Í¨¾àÀë¡£ËùÓĞµÄÍâÃ³¹«Ë¾¶¼ÒÑÏò$COUNTRY_ADJ$ÉÌ»áÉêÇëÓÚ¸ÃÔËºÓµÄÕıÊ½Í¨¹ıÈ¨¡£;;;;;;;;;;;;;
EVTDESC97255_NEWS_MEDIUM;The recent takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route, substantially shortening the traffic distances between Europe and Asia.;;;;;;;;;;;;;
EVTDESC97255_NEWS_SHORT;The takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route.;;;;;;;;;;;;;
EVTNAME97265_NEWS_TITLE;$COUNTRY$ Reveals Plans For 'Suez Canal';;;;;;;;;;;;;
EVTDESC97265_NEWS_LONG;$COUNTRY_ADJ$ engineers have officially presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea – calling it the 'Suez Canal'. According to the engineering lead team 'the construction of this canal can be done within a few years…provided that problems of any other than a technical kind will not arise'. Local officials have not commented on an exact starting date for the construction but denied repeating rumors that the $COUNTRY_ADJ$ government itself would be behind the project.;;;;;;;;;;;;;
EVTDESC97265_NEWS_MEDIUM;$COUNTRY_ADJ$ engineers have presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea – calling it the 'Suez Canal'. Officials have not commented on an exact starting date for the construction.;;;;;;;;;;;;;
EVTDESC97265_NEWS_SHORT;$COUNTRY_ADJ$ engineers have presented to the local Egyptian government a concept for construction of the 'Suez Canal', directly linking the Mediterranean to the Red Sea.;;;;;;;;;;;;;
EVTNAME97280_NEWS_TITLE;$COUNTRY$ Completes Suez Canal;;;;;;;;;;;;;
EVTDESC97280_NEWS_LONG;¡°¼ÍÄîÒ»¸ö¿¶¿®¶ø²»ĞÒµÄÈË¡±£¬Õâ¾ä»°Ãú¿ÌÔÚÓÉ$COUNTRY_ADJ$Õş¸®³ö×ÊµÄÇàÍ­ĞØÏñÉÏ£¬Í­ÏñÔÚËÕÒÁÊ¿ÔËºÓÂ¡ÖØµÄ¿ªÄ»µäÀñÉÏ¹«¿ªÁÁÏà¡£ÕâÌõË®µÀ£¬Á¬Í¨×ÅµØÖĞº£ºÍºìº££¬²»¾Ã»á³ÉÎªÊÀÉÏ×îÖØÒªµÄº£ÉÏÔËÊäÂ·Ïß£¬ÒòÎªËü¼«´óµØËõ¶ÌÁËÅ·ÖŞºÍÑÇÖŞµÄ½»Í¨¾àÀë¡£$COUNTRY_ADJ$¹ú¼ÒÃ³Ò×¾ÖÔÚÏÂÖÜÄÚ»áĞû²¼ÕıÊ½Í¨ĞĞÈ¨µÄÄê·Ñ¡£;;;;;;;;;;;;;
EVTDESC97280_NEWS_MEDIUM;ÓÉ$COUNTRY_ADJ$Õş¸®³ö×ÊµÄÇàÍ­ĞØÏñÉÏÔÚËÕÒÁÊ¿ÔËºÓÂ¡ÖØµÄ¿ªÄ»µäÀñÉÏ¹«¿ªÁÁÏà¡£ÕâÌõË®µÀ£¬Á¬Í¨×ÅµØÖĞº£ºÍºìº££¬²»¾Ã»á³ÉÎªÊÀÉÏ×îÖØÒªµÄº£ÉÏÔËÊäÂ·Ïß;;;;;;;;;;;;;
EVTDESC97280_NEWS_SHORT;Ëæ×ÅËÕÒÁÊ¿ÔËºÓÍê³É£¬ Õâ¸ö½¨ÖşËõ¶ÌÁËºìº£ºÍµØÖĞº£µÄ½»Í¨¾àÀë£¬¼«´óµØÌá¸ßÁË$COUNTRY$µÄ¹ú¼ÒÉùÍû¡£;;;;;;;;;;;;;
EVTNAME97355_NEWS_TITLE;°ÍÄÃÂíÔËºÓÊÜµ½$COUNTRY_ADJ$¿ØÖÆ;;;;;;;;;;;;;
