Key;English;;;;;;;;;;;;;
EIC_ADJ;公司的;;;;;;;;;;;;;
UTI;领土交换;;;;;;;;;;;;;
EVTDESC9990001;我们最近征服的领土已完全融入我们的行政当局。;;;;;;;;;;;;;
EVTDESC9990002;不幸的叛乱使我们的政府在议会的脑海中留下了阴霾，最近通过一项法案清算公司，他们现在寻求将我们所有的财产收归皇室。;;;;;;;;;;;;;
EVTDESC9990004;在印度兵变之后，根据$YEAR$年印度政府法案的规定，英国政府将公司国有化，因此王室接管了其印度财产，行政权力和机构及武装部队。印度公司治理的时代已经结束。\n\n它完成了在人类的整个历史中，没有任何其他贸易公司曾经尝试过的一项工作，当然未来也不会有。\n\n——时代变了;;;;;;;;;;;;;
EVTDESC9990005;英国军队已被打败，我们现在可以自由地与印度合作，我们的股东已经转移到加尔各答，我们所有的事务都是我们自己的。除了澳大利亚和新西兰之外，我们的部队占领了亚洲的所有英国领土，所有王公国家都将被迫接受我们的宗主权。\n\n前总督詹姆斯·安德鲁·布朗——拉姆齐，达尔豪西伯爵，今后将被加冕为皇帝拉姆齐，东印度帝国的尊贵皇帝。这是辉煌的一天！;;;;;;;;;;;;;
EVTDESC9990007;最近在加尔各答发生的事件破坏了东印度公司在贸易问题上对王室的忠诚，英国对印度货物的垄断处于危险之中，必须采取迅速行动来修补这一点。;;;;;;;;;;;;;
EVTDESC9990008;议会对我们最近的政策变化感到不满，他们现在试图破坏我们的权利并清算公司，显然现在是时候重新评估我们的忠诚度了。;;;;;;;;;;;;;
EVTDESC9990009;一艘船今天抵达加尔各答，带着一些英国人的聪明才智，我们必须立即投入使用。;;;;;;;;;;;;;
government_of_india_act;印度政府法案;;;;;;;;;;;;;
government_of_india_act_title;$YEAR$年印度政府法案;;;;;;;;;;;;;
government_of_india_act_desc;最近印度的叛乱暴露了公司治理的结构性弱点和效率低下，为了印度人和帝国的利益，我们必须清算东印度公司并将其持有的股权置于公司统治之下。\n\n我们通过同样的义务约束印度领土的原住民，这使我们与所有其他臣民联系在一起。;;;;;;;;;;;;;
mughal_declaration_eic_title;Declare a Jihad Against the British;;;;;;;;;;;;;
mughal_declaration_eic_desc;Unrest dominates the territory of the former Mughal Empire, now controlled by the British. There are calls for jihad by Muslim leaders like Maulana Fazl-e-Haq Khairabadi and the millenarian Ahmedullah Shah, which were taken up by Muslims, particularly artisans, which caused the British to think that the Muslims were the main force behind this unrest. The Mughal emperor, Bahadur Shah, resisted these calls for jihad because, it has been suggested, he feared outbreaks of communal violence. By abiding to these calls, expelling the British from Delhi and declaring a Jihad, by shaking off the British influence and dominance, the Shah can be acclaimed Emperor of India, his rightful title.;;;;;;;;;;;;;
